St  Name                           Version                        Arch   Description                                                  Licenses
ii  libwebrtc-audio-processing1:ar 0.3-1                          armhf  AudioProcessing module from the WebRTC project.              BSD-3-clause
ii  libwildmidi-config             0.4.0-2                        all    software MIDI player configuration                           CC-BY-SA-4.0 GPL-3+ LGPL-3+
ii  libwildmidi2:armhf             0.4.0-2                        armhf  software MIDI player library                                 CC-BY-SA-4.0 GPL-3+ LGPL-3+
ii  libwnck-3-0:armhf              3.20.1-3                       armhf  Window Navigator Construction Kit - runtime files            LGPL-2+
ii  libwnck-3-common               3.20.1-3                       all    Window Navigator Construction Kit - common files             LGPL-2+
ii  libwnck-common                 2.30.7-5.1                     all    Window Navigator Construction Kit - common files             GPL-2+ GPL-2+~autoconf GPL-2+~libtool GPL-3+~autoconf LGPL-2+ public-domain~automake public-domain~autotools public-domain~configure public-domain~gettext public-domain~m4 public-domain~Makefile
ii  libwnck22:armhf                2.30.7-5.1                     armhf  Window Navigator Construction Kit - runtime files            GPL-2+ GPL-2+~autoconf GPL-2+~libtool GPL-3+~autoconf LGPL-2+ public-domain~automake public-domain~autotools public-domain~configure public-domain~gettext public-domain~m4 public-domain~Makefile
ii  libwrap0:armhf                 7.6.q-26                       armhf  Wietse Venema's TCP wrappers library                         unknown
ii  libx11-6:armhf                 2:1.6.4-3+deb9u1               armhf  X11 client-side library                                      MIT license
ii  libx11-data                    2:1.6.4-3+deb9u1               all    X11 client-side library                                      MIT license
ii  libx11-xcb1:armhf              2:1.6.4-3+deb9u1               armhf  Xlib/XCB interface library                                   MIT license
ii  libx264-148:armhf              2:0.148.2748+git97eaef2-1+rpi1 armhf  x264 video coding library                                    BSD-3-clause Expat GPL-2+ GPL-2+ with other exception ISC LGPL-2.1+ public-domain
ii  libx265-95:armhf               2.1-2                          armhf  H.265/HEVC video stream encoder (shared library)             GPL-2+ LGPL-2.1+
ii  libxapian30:armhf              1.4.3-2+deb9u2                 armhf  Search engine library                                        GPL-2
ii  libxau6:armhf                  1:1.0.8-1                      armhf  X11 authorisation library                                    unknown
ii  libxaw7:armhf                  2:1.0.13-1                     armhf  X11 Athena Widget library                                    unknown
ii  libxcb-dri2-0:armhf            1.12-1                         armhf  X C Binding, dri2 extension                                  unknown
ii  libxcb-dri3-0:armhf            1.12-1                         armhf  X C Binding, dri3 extension                                  unknown
ii  libxcb-glx0:armhf              1.12-1                         armhf  X C Binding, glx extension                                   unknown
ii  libxcb-icccm4:armhf            0.4.1-1                        armhf  utility libraries for X C Binding -- icccm                   GPL-2+ MIT/X Consortium License
ii  libxcb-image0:armhf            0.4.0-1                        armhf  utility libraries for X C Binding -- image                   GPL-2+ MIT/X11
ii  libxcb-keysyms1:armhf          0.4.0-1                        armhf  utility libraries for X C Binding -- keysyms                 GPL-2+ MIT/X11
ii  libxcb-present0:armhf          1.12-1                         armhf  X C Binding, present extension                               unknown
ii  libxcb-randr0:armhf            1.12-1                         armhf  X C Binding, randr extension                                 unknown
ii  libxcb-render-util0:armhf      0.3.9-1                        armhf  utility libraries for X C Binding -- render-util             GPL-2+ MIT/X Consortium License
ii  libxcb-render0:armhf           1.12-1                         armhf  X C Binding, render extension                                unknown
ii  libxcb-shape0:armhf            1.12-1                         armhf  X C Binding, shape extension                                 unknown
ii  libxcb-shm0:armhf              1.12-1                         armhf  X C Binding, shm extension                                   unknown
ii  libxcb-sync1:armhf             1.12-1                         armhf  X C Binding, sync extension                                  unknown
ii  libxcb-util0:armhf             0.3.8-3                        armhf  utility libraries for X C Binding -- atom, aux and event     GPL-2+ MIT/X Consortium License
ii  libxcb-xfixes0:armhf           1.12-1                         armhf  X C Binding, xfixes extension                                unknown
ii  libxcb-xinerama0:armhf         1.12-1                         armhf  X C Binding, xinerama extension                              unknown
ii  libxcb-xkb1:armhf              1.12-1                         armhf  X C Binding, XKEYBOARD extension                             unknown
ii  libxcb-xv0:armhf               1.12-1                         armhf  X C Binding, xv extension                                    unknown
ii  libxcb1:armhf                  1.12-1                         armhf  X C Binding                                                  unknown
ii  libxcomposite1:armhf           1:0.4.4-2                      armhf  X11 Composite extension library                              unknown
ii  libxcursor1:armhf              1:1.1.14-1+deb9u2              armhf  X cursor management library                                  unknown
ii  libxdamage1:armhf              1:1.1.4-2+b1                   armhf  X11 damaged region extension library                         unknown
ii  libxdmcp6:armhf                1:1.1.2-3                      armhf  X11 Display Manager Control Protocol library                 unknown
ii  libxext6:armhf                 2:1.3.3-1                      armhf  X11 miscellaneous extension library                          unknown
ii  libxfce4util-bin               4.12.1-3                       armhf  tools for libxfce4util                                       GPL-2 LGPL-2
ii  libxfce4util-common            4.12.1-3                       all    common files for libxfce4util                                GPL-2 LGPL-2
ii  libxfce4util7:armhf            4.12.1-3                       armhf  Utility functions library for Xfce4                          GPL-2 LGPL-2
ii  libxfconf-0-2                  4.12.1-1                       armhf  Client library for Xfce4 configure interface                 GPL-2 LGPL-2
ii  libxfixes3:armhf               1:5.0.3-1                      armhf  X11 miscellaneous 'fixes' extension library                  unknown
ii  libxfont2:armhf                1:2.0.1-3+deb9u1               armhf  X11 font rasterisation library                               unknown
ii  libxft2:armhf                  2.3.2-1                        armhf  FreeType-based font drawing library for X                    unknown
ii  libxi6:armhf                   2:1.7.9-1                      armhf  X11 Input extension library                                  unknown
ii  libxinerama1:armhf             2:1.1.3-1+b1                   armhf  X11 Xinerama extension library                               unknown
ii  libxkbcommon-x11-0:armhf       0.7.1-2~deb9u1                 armhf  library to create keymaps with the XKB X11 protocol          unknown
ii  libxkbcommon0:armhf            0.7.1-2~deb9u1                 armhf  library interface to the XKB compiler - shared library       unknown
ii  libxkbfile1:armhf              1:1.0.9-2                      armhf  X11 keyboard file manipulation library                       unknown
ii  libxklavier16:armhf            5.4-2                          armhf  X Keyboard Extension high-level API                          LGPL
ii  libxml2:armhf                  2.9.4+dfsg1-2.2+deb9u2         armhf  GNOME XML library                                            unknown
ii  libxmu6:armhf                  2:1.1.2-2                      armhf  X11 miscellaneous utility library                            unknown
ii  libxmuu1:armhf                 2:1.1.2-2                      armhf  X11 miscellaneous micro-utility library                      unknown
ii  libxpm4:armhf                  1:3.5.12-1                     armhf  X11 pixmap library                                           unknown
ii  libxrandr2:armhf               2:1.5.1-1                      armhf  X11 RandR extension library                                  unknown
ii  libxrender1:armhf              1:0.9.10-1                     armhf  X Rendering Extension client library                         unknown
ii  libxres1:armhf                 2:1.0.7-1                      armhf  X11 Resource extension library                               unknown
ii  libxshmfence1:armhf            1.2-1                          armhf  X shared memory fences - shared library                      unknown
ii  libxslt1.1:armhf               1.1.29-2.1                     armhf  XSLT 1.0 processing library - runtime library                unknown
ii  libxss1:armhf                  1:1.2.2-1                      armhf  X11 Screen Saver extension library                           unknown
ii  libxt6:armhf                   1:1.1.5-1                      armhf  X11 toolkit intrinsics library                               unknown
ii  libxtables12:armhf             1.6.0+snapshot20161117-6       armhf  netfilter xtables library                                    Artistic-2 custom GPL-2 GPL-2+
ii  libxtst6:armhf                 2:1.2.3-1                      armhf  X11 Testing -- Record extension library                      unknown
ii  libxv1:armhf                   2:1.0.11-1                     armhf  X11 Video extension library                                  
ii  libxvidcore4:armhf             2:1.3.4-1                      armhf  Open source MPEG-4 video codec (library)                     GPL-2+ LGPL-2+
ii  libxxf86dga1:armhf             2:1.1.4-1                      armhf  X11 Direct Graphics Access extension library                 unknown
ii  libxxf86vm1:armhf              1:1.1.4-1                      armhf  X11 XFree86 video mode extension library                     unknown
ii  libzbar0:armhf                 0.10+doc-10.1                  armhf  bar code scanner and decoder (library)                       LGPL-2.1
ii  libzmq5:armhf                  4.2.1-4+deb9u1                 armhf  lightweight messaging kernel (shared library)                LGPL-2.0+ LGPL-3.0+ MIT
ii  libzvbi-common                 0.2.35-13                      all    Vertical Blanking Interval decoder (VBI) - common files      BSD-2-Clause BSD-3-Clause GPL-2 GPL-2+ GPL-2+ or BSD-3-Clause GPL-2 or GPL-2+ LGPL-2+ LGPL-2.1+ MIT
ii  libzvbi0:armhf                 0.2.35-13                      armhf  Vertical Blanking Interval decoder (VBI) - runtime files     BSD-2-Clause BSD-3-Clause GPL-2 GPL-2+ GPL-2+ or BSD-3-Clause GPL-2 or GPL-2+ LGPL-2+ LGPL-2.1+ MIT
ii  lightdm                        1.18.3-1                       armhf  simple display manager                                       GPL-2 GPL-3
ii  lightdm-gtk-greeter            2.0.2-1                        armhf  simple display manager (GTK+ greeter)                        GPL-2 GPL-3 GPL-3+ LGPL-3+
ii  linux-base                     4.5                            all    Linux image base package                                     GPL-2
ii  linux-libc-dev:armhf           4.9.82-1+deb9u3+rpi1           armhf  Linux support headers for userspace development              CRYPTOGAMS GPL-2 LGPL-2.1 Unicode-data Xen-interface
ii  locales                        2.24-11+deb9u3                 all    GNU C Library: National Language (locale) data [support]     GPL-2 LGPL-2.1
ii  login                          1:4.4-4.1                      armhf  system login tools                                           GPL-2
ii  logrotate                      3.11.0-0.1                     armhf  Log rotation utility                                         GPL-2
ii  lsb-base                       9.20161125+rpi1                all    Linux Standard Base init script functionality                BSD-3-clause GPL-2
ii  lsb-release                    9.20161125+rpi1                all    Linux Standard Base version reporting utility                BSD-3-clause GPL-2
ii  lua5.1                         5.1.5-8.1                      armhf  Simple, extensible, embeddable programming language          unknown
ii  luajit                         2.0.4+dfsg-1                   armhf  Just in time compiler for Lua programming language version 5 MIT/X PD
ii  lxappearance                   0.6.3-1                        armhf  LXDE GTK+ theme switcher                                     GPL-2+
ii  lxappearance-obconf            0.2.3-1+rpt1                   armhf  LXDE GTK+ theme switcher (plugin)                            GPL-2+
ii  lxde                           9+rpi1                         all    Metapackage for LXDE                                         GPL-2+
ii  lxde-common                    0.99.2-3                       all    LXDE common configuration files                              GPL-2+
ii  lxde-core                      9+rpi1                         all    Metapackage for the LXDE core                                GPL-2+
ii  lxde-icon-theme                0.5.1-2                        all    LXDE standard icon theme                                     GPL-3+ LGPL-3+
ii  lxhotkey-core                  0.1.0-1                        armhf  Lightweight global keyboard shortcuts configurator           GPL-2+
ii  lxhotkey-gtk                   0.1.0-1                        armhf  LXHotkey keyboard shortcuts configurator (GTK+ GUI plugin)   GPL-2+
ii  lxinput                        0.3.5-1+rpi4                   armhf  LXDE keyboard and mouse configuration                        GPL-3 GPL-3+ LGPL-3+
